"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"32",2,67.6473002188802,11.57992,1.94156686539462,0.801,5000,0,0,1.37,0.501,0.191,365,7.34086736277483,130,7.179,1,162.787767926222,3.048746,0.532689802598761,343.096372593502,10,-57.7189273103585,0.0996748359037457
"33",2,46.5106526479266,11.57992,2.80138194002096,0.801,5000,0,0,1.37,0.501,0.191,365,9.81495775281971,130,7.179,1,176.507343809818,3.048746,0.16676316972666,208.512670836702,25,-57.7302303488726,0.0866041679140937
"34",2,56.3350446360622,11.57992,2.33947885891951,0.801,5000,0,0,1.37,0.501,0.191,365,8.3266276757305,130,7.179,1,182.379465026387,3.048746,0.318192330523753,198.954646239298,15,-57.7457771518521,0.0716729004268928
"35",2,42.2166183269874,11.57992,2.60652952837238,0.801,5000,0,0,1.37,0.501,0.191,365,10.8220767466993,130,7.179,1,144.976385440387,3.048746,0.166888785294624,205.429879574103,25,-57.753405488366,0.0613257898853644
"36",2,62.6085754503672,11.57992,2.64824804557421,0.801,5000,0,0,1.37,0.501,0.191,365,7.81343664133225,130,7.179,1,296.090480305982,3.048746,0.521198113683289,229.875235115903,10,-57.7566801129828,0.0763952992179623
"37",2,47.4454225862928,11.57992,2.04951297468137,0.801,5000,0,0,1.37,0.501,0.191,365,9.71426238151492,130,7.179,1,116.102482238211,3.048746,0.299374000407862,234.456139513157,15,-57.8270743515241,0.13831520851184
"38",2,53.1268966729173,11.57992,2.03958436674802,0.801,5000,0,0,1.37,0.501,0.191,365,8.80407086534767,130,7.179,1,128.895905937186,3.048746,0.234985165560265,249.488899988655,20,-57.8382658740826,0.0722668755160099
"39",2,51.3718350158735,11.57992,2.33850732620644,0.801,5000,0,0,1.37,0.501,0.191,365,9.11549999725658,130,7.179,1,157.997802437768,3.048746,0.188151656643601,420.268585952007,25,-57.9023903938338,0.160211822606571
"40",2,35.0279045758667,11.57992,2.35712727032652,0.801,5000,0,0,1.37,0.501,0.191,365,12.6088487566523,130,7.179,1,97.5989412303063,3.048746,0.376014043192297,149.544414964717,10,-57.9325613005838,0.105975397122312
"41",2,46.9517769947157,11.57992,2.99659859556084,0.801,5000,0,0,1.37,0.501,0.191,365,9.97037637245913,130,7.179,1,230.167518247748,3.048746,0.217033964501771,241.308357692974,20,-57.9744108431726,0.0898019720956557
"42",2,69.6079473175792,11.57992,2.04583464429479,0.801,5000,0,0,1.37,0.501,0.191,365,7.18191882162747,130,7.179,1,177.101558918192,3.048746,0.528692791178243,746.52355587141,10,-57.9779658828979,0.10944766333076
"43",2,59.6169223434936,11.57992,3.98040896328574,0.801,5000,0,0,1.37,0.501,0.191,365,7.98189486084836,130,7.179,1,568.402991037749,3.048746,0.199070048592097,577.562910191886,25,-58.0040613067935,0.111250386878019
"44",2,64.0260288165518,11.57992,2.46509859718605,0.801,5000,0,0,1.37,0.501,0.191,365,7.88844114119618,130,7.179,1,264.731991482695,3.048746,0.352721575438436,248.793819891718,15,-58.0051192625485,0.120589837478947
"45",2,44.5509506219428,11.57992,2.0166402876198,0.801,5000,0,0,1.37,0.501,0.191,365,10.283125464545,130,7.179,1,94.2504119077876,3.048746,0.414389971701845,203.069864954639,10,-58.0768913220453,0.0324985780879901
"46",2,51.3155733320426,11.57992,2.5282925870198,0.801,5000,0,0,1.37,0.501,0.191,365,8.88158951633291,130,7.179,1,210.521228806994,3.048746,0.465373898063443,265.003284930358,10,-58.1012915314333,0.102266197574408
"47",2,64.1816232162814,11.57992,2.05903672652829,0.801,5000,0,0,1.37,0.501,0.191,365,7.52744630844896,130,7.179,1,178.542523603104,3.048746,0.344255831241807,453.051426534316,15,-58.1517619964485,0.0877602552779351
"48",2,77.4414651980079,11.57992,1.56679690337113,0.801,5000,0,0,1.37,0.501,0.191,365,6.74469650727534,130,7.179,1,126.5598353884,3.048746,0.284158963049831,587.641301540731,20,-58.1955593121849,0.176824727099749
"49",2,34.2338450036387,11.57992,2.54450947965684,0.801,5000,0,0,1.37,0.501,0.191,365,12.7961063984864,130,7.179,1,106.18284704782,3.048746,0.185133115965284,244.394594192262,20,-58.2614326753084,0.1837914477597
"50",2,83.9843425040038,11.57992,2.29071662461517,0.801,5000,0,0,1.37,0.501,0.191,365,6.26397529924902,130,7.179,1,346.550253075553,3.048746,0.251160565501279,1294.48738024926,25,-58.2881724587104,0.226815128238252
"51",2,50.087236105112,11.57992,2.20928730915699,0.801,5000,0,0,1.37,0.501,0.191,365,8.88510218284584,130,7.179,1,152.284004399781,3.048746,0.22702285024789,253.634243161326,20,-58.3542861068422,0.18776983702754
"52",2,44.5008629239377,11.57992,2.94546917031229,0.801,5000,0,0,1.37,0.501,0.191,365,10.1085688563418,130,7.179,1,209.42999413934,3.048746,0.283584292072425,399.071823047429,15,-58.3628464516187,0.098261792013466
"53",2,86.0757851141597,11.57992,1.47523681472251,0.801,5000,0,0,1.37,0.501,0.191,365,6.01617141457544,130,7.179,1,138.749071060978,3.048746,0.308911437877411,1643.86693151937,20,-58.3707644092987,0.1955189414578
"54",2,40.2452496068445,11.57992,2.76941551925472,0.801,5000,0,0,1.37,0.501,0.191,365,11.0178961531056,130,7.179,1,158.119157737814,3.048746,0.162212457832548,434.74528226708,25,-58.3850326694971,0.164649258246463
"55",2,65.9566303493915,11.57992,2.87199756096228,0.801,5000,0,0,1.37,0.501,0.191,365,7.5312018724966,130,7.179,1,357.162362637474,3.048746,0.260113125753751,757.270592653448,20,-58.4013032642417,0.187858526113724
"56",2,176.87053542856,11.57992,0.872460191730501,0.801,5000,0,0,1.37,0.501,0.191,365,3.83366524997369,130,7.179,1,130.738394617507,3.048746,0.663531280186942,388.494778618685,15,-58.4096543734938,0.122604412698704
"57",2,67.408382448924,11.57992,2.11352561589102,0.801,5000,0,0,1.37,0.501,0.191,365,7.5537244896136,130,7.179,1,201.081837246773,3.048746,0.359605126503361,527.364041305331,15,-58.4271109747112,0.0601825885651106
"58",2,56.7643625234087,11.57992,2.03449998596378,0.801,5000,0,0,1.37,0.501,0.191,365,8.26539049733482,130,7.179,1,148.497810780857,3.048746,0.325565812015584,488.792710425909,15,-58.4446723038975,0.105929659791443
"59",2,43.8514949229516,11.57992,3.36464663468322,0.801,5000,0,0,1.37,0.501,0.191,365,10.3035223413192,130,7.179,1,255.570394816148,3.048746,0.207644373437946,514.121490197739,20,-58.539036296575,0.109486992988643
"60",2,45.1777473996373,11.57992,2.8205415895902,0.801,5000,0,0,1.37,0.501,0.191,365,10.2080834162418,130,7.179,1,201.743580142897,3.048746,0.418915470123831,247.45590403822,10,-58.5469322088665,0.216856775844459
"61",2,67.6717714369422,11.57992,1.5924412242433,0.801,5000,0,0,1.37,0.501,0.191,365,7.42210276448889,130,7.179,1,118.392399765027,3.048746,0.273717131539323,1486.95726629909,20,-58.6205468385655,0.118849568926362
"62",2,84.9423964644936,11.57992,1.70993847038222,0.801,5000,0,0,1.37,0.501,0.191,365,6.07716878276388,130,7.179,1,199.314393138894,3.048746,0.412502686352757,699.066064624403,15,-58.6519968003251,0.0750018621229819
"63",2,55.4213848719865,11.57992,1.58405920072564,0.801,5000,0,0,1.37,0.501,0.191,365,8.53175549705981,130,7.179,1,81.2178478277547,3.048746,0.463406452990805,491.501256449727,10,-58.7743404360214,0.104525920427157
"64",2,39.7839521080016,11.57992,2.41097017709011,0.801,5000,0,0,1.37,0.501,0.191,365,11.3843670391291,130,7.179,1,131.935116302569,3.048746,0.401138313975224,234.208513185772,10,-58.8571123450674,0.0963621726380261
"65",2,33.7552327666643,11.57992,3.45713038519404,0.801,5000,0,0,1.37,0.501,0.191,365,12.8170334180113,130,7.179,1,222.92842531421,3.048746,0.372827032632334,214.900448535386,10,-58.8948481431803,0.0891211147261294
