"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se","comment"
"63",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.4875,91.05989703,9.609375,-184.1208179,0.114822462,"Evaluating likhood for d-zeta, profile, set 1"
"64",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.8875,91.05989703,19.109375,-662.5422016,0.559839129,"Evaluating likhood for d-zeta, profile, set 1"
"65",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.6875,91.05989703,4.859375,-124.6979538,0.07640539,"Evaluating likhood for d-zeta, profile, set 1"
"66",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.2875,91.05989703,14.359375,-154.211297,0.052351261,"Evaluating likhood for d-zeta, profile, set 1"
"67",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.2625,91.05989703,5.453125,-56.37468651,0.014969486,"Evaluating likhood for d-zeta, profile, set 1"
"68",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.6625,91.05989703,14.953125,-423.9888087,0.321540666,"Evaluating likhood for d-zeta, profile, set 1"
"69",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.8625,91.05989703,10.203125,-383.6436762,0.363697689,"Evaluating likhood for d-zeta, profile, set 1"
"70",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.4625,91.05989703,19.703125,-385.3173613,0.300541953,"Evaluating likhood for d-zeta, profile, set 1"
"71",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.5625,91.05989703,7.828125,-172.2570648,0.145805877,"Evaluating likhood for d-zeta, profile, set 1"
"72",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.9625,91.05989703,17.328125,-658.8516665,0.533081052,"Evaluating likhood for d-zeta, profile, set 1"
